1,9,2
1,8,9
1,29,8
1,22,29
1,23,22
1,2,23
2,10,3
2,9,10
2,24,23
2,3,24
3,11,4
3,10,11
3,25,24
3,4,25
4,12,5
4,11,12
4,26,25
4,5,26
5,13,6
5,12,13
5,27,26
5,6,27
6,14,7
7,14,30
6,13,14
6,28,27
6,7,28
28,7,30
8,16,9
8,15,16
16,15,32
8,31,15
15,31,32
8,29,31
9,17,10
9,16,17
17,16,33
16,32,33
10,18,11
10,17,18
18,17,34
17,33,34
11,19,12
11,18,19
19,18,35
18,34,35
12,20,13
12,19,20
20,19,36
19,35,36
13,21,14
14,21,37
13,20,21
21,20,37
20,36,37
30,14,37
22,45,29
22,38,45
45,38,46
22,39,38
38,39,46
22,23,39
46,39,47
23,40,39
39,40,47
23,24,40
24,41,40
24,25,41
25,42,41
25,26,42
48,42,49
26,43,42
42,43,49
26,27,43
28,30,50
49,43,50
27,44,43
43,44,50
27,28,44
44,28,50
32,31,52
29,51,31
31,51,52
29,45,51
51,45,52
45,46,52
33,32,53
32,52,53
52,46,53
46,47,53
34,33,54
33,53,54
35,34,55
34,54,55
36,35,56
35,55,56
55,48,56
48,49,56
30,37,57
37,36,57
36,56,57
56,49,57
49,50,57
50,30,57
40,61,47
40,58,61
40,59,58
40,41,59
42,48,62
41,60,59
41,42,60
60,42,62
54,53,64
47,63,53
53,63,64
47,61,63
48,55,65
55,54,65
54,64,65
62,48,65
58,69,61
58,66,69
58,67,66
58,59,67
60,62,70
59,68,67
59,60,68
68,60,70
64,63,72
61,71,63
63,71,72
61,69,71
62,65,73
65,64,73
64,72,73
70,62,73
66,77,69
66,74,77
66,75,74
66,67,75
68,70,78
67,76,75
67,68,76
76,68,78
72,71,80
69,79,71
71,79,80
69,77,79
70,73,81
73,72,81
72,80,81
78,70,81
74,85,77
74,82,85
74,83,82
74,75,83
76,78,86
75,84,83
75,76,84
84,76,86
80,79,88
77,87,79
79,87,88
77,85,87
78,81,89
81,80,89
80,88,89
86,78,89
82,93,85
82,90,93
93,90,94
82,91,90
90,91,94
82,83,91
84,86,95
94,91,95
83,92,91
91,92,95
83,84,92
92,84,95
88,87,97
85,96,87
87,96,97
85,93,96
96,93,97
93,94,97
86,89,98
89,88,98
88,97,98
97,94,98
94,95,98
95,86,98
