1,8,2
1,7,8
1,25,7
1,19,25
1,20,19
1,2,20
2,9,3
2,8,9
2,21,20
2,3,21
3,10,4
3,9,10
3,22,21
3,4,22
4,11,5
4,10,11
4,23,22
4,5,23
5,12,6
6,12,26
5,11,12
5,24,23
5,6,24
24,6,26
7,14,8
7,13,14
14,13,28
7,27,13
13,27,28
7,25,27
8,15,9
8,14,15
15,14,29
14,28,29
9,16,10
9,15,16
16,15,30
15,29,30
10,17,11
10,16,17
17,16,31
16,30,31
11,18,12
12,18,32
11,17,18
18,17,32
17,31,32
26,12,32
19,39,25
19,33,39
39,33,40
19,34,33
33,34,40
19,20,34
40,34,41
20,35,34
34,35,41
20,21,35
41,35,42
21,36,35
35,36,42
21,22,36
42,36,43
22,37,36
36,37,43
22,23,37
24,26,44
43,37,44
23,38,37
37,38,44
23,24,38
38,24,44
28,27,46
25,45,27
27,45,46
25,39,45
45,39,46
39,40,46
29,28,47
28,46,47
46,40,47
40,41,47
30,29,48
29,47,48
47,41,48
41,42,48
31,30,49
30,48,49
48,42,49
42,43,49
26,32,50
32,31,50
31,49,50
49,43,50
43,44,50
44,26,50
