2868660911.2232471,-26298063.7192383,-26298063.719238631,-3.597218086245983e-08,13149031.859620146,-13149031.859620361,-2868660911.223238,26298063.719241947,26298063.719242852,-3.216631247241172e-08,13149031.859620942,-13149031.859620705,7.1057642518024001e-08,9.8571251001738588e-08
-26298063.7192383,253059170.19667247,20871822.245051861,3.6164996270956334e-07,-10435911.122522242,126529585.0983244,26298063.719241627,-253059170.19662887,-20871822.245039053,2.9535213028370972e-07,-10435911.122520367,126529585.09831731,1.5294957559463515e-06,1.1096983701005982e-06
-26298063.719238631,20871822.245051861,253059170.19664374,3.8567549228727117e-07,-126529585.09832051,10435911.122522313,26298063.719241209,-20871822.24503867,-253059170.19664004,1.1979073784648012e-07,-126529585.09832022,10435911.122520301,8.2164081805132167e-07,-1.6745052575048733e-06
-3.597218086245983e-08,3.6164996270956334e-07,3.8567549228727117e-07,24691020.120520759,-1350889.9366105236,-1350889.9366104282,1.4535438423635018e-08,2.9093876369592062e-07,8.1926637453137927e-08,-24691020.120520376,1350889.9366104787,1350889.9366103886,-4.7558923580605074e-08,-6.095297436094585e-09
13149031.859620146,-10435911.122522242,-126529585.09832051,-1350889.9366105236,89643506.584813908,-7930563.0495428219,-13149031.859620709,10435911.12252029,126529585.09831995,1350889.9366103932,36886078.513506293,-2505348.0729783545,-1.5820697870848089e-07,3.4055208946935623e-07
-13149031.859620361,126529585.0983244,10435911.122522313,-1350889.9366104282,-7930563.0495428219,89643506.584814638,13149031.859620729,-126529585.09831727,-10435911.12252029,1350889.9366104668,-2505348.0729783382,36886078.513505667,2.2344748315069426e-07,1.414189834260234e-07
-2868660911.223238,26298063.719241627,26298063.719241209,1.4535438423635018e-08,-13149031.859620709,13149031.859620729,2868660911.2232409,-26298063.71923852,-26298063.719238214,9.4421386256283456e-09,-13149031.859620532,13149031.859620526,1.2382789932176902e-07,1.1160912170925468e-08
26298063.719241947,-253059170.19662887,-20871822.24503867,2.9093876369592062e-07,10435911.12252029,-126529585.09831727,-26298063.71923852,253059170.19666871,20871822.245053101,9.7369870421498887e-07,10435911.122522471,-126529585.09832367,2.3448627804257183e-07,-2.836907299596377e-08
26298063.719242852,-20871822.245039053,-253059170.19664004,8.1926637453137927e-08,126529585.09831995,-10435911.12252029,-26298063.719238214,20871822.245053101,253059170.19665778,-5.4660461046296405e-08,126529585.09832126,-10435911.122522507,4.6941167489381903e-07,-6.250743545587133e-07
-3.216631247241172e-08,2.9535213028370972e-07,1.1979073784648012e-07,-24691020.120520376,1350889.9366103932,1350889.9366104668,9.4421386256283456e-09,9.7369870421498887e-07,-5.4660461046296405e-08,24691020.120520715,-1350889.9366104004,-1350889.9366105506,-4.450930302628322e-08,-5.9620407112376527e-09
13149031.859620942,-10435911.122520367,-126529585.09832022,1350889.9366104787,36886078.513506293,-2505348.0729783382,-13149031.859620532,10435911.122522471,126529585.09832126,-1350889.9366104004,89643506.584813908,-7930563.0495428853,1.3979239616171309e-07,-2.061392819811743e-07
-13149031.859620705,126529585.09831731,10435911.122520301,1350889.9366103886,-2505348.0729783545,36886078.513505667,13149031.859620526,-126529585.09832367,-10435911.122522507,-1350889.9366105506,-7930563.0495428853,89643506.584814459,-6.3826425109192657e-08,8.7551267172662425e-09
7.1057642518024001e-08,1.5294957559463515e-06,8.2164081805132167e-07,-4.7558923580605074e-08,-1.5820697870848089e-07,2.2344748315069426e-07,1.2382789932176902e-07,2.3448627804257183e-07,4.6941167489381903e-07,-4.450930302628322e-08,1.3979239616171309e-07,-6.3826425109192657e-08,14655121.093128866,1.1566596415931181e-07
9.8571251001738588e-08,1.1096983701005982e-06,-1.6745052575048733e-06,-6.095297436094585e-09,3.4055208946935623e-07,1.414189834260234e-07,1.1160912170925468e-08,-2.836907299596377e-08,-6.250743545587133e-07,-5.9620407112376527e-09,-2.061392819811743e-07,8.7551267172662425e-09,1.1566596415931181e-07,15832696.536244329
